,Purpose Code,Categorization
489,CAMPAIGN STORE MERCH EXPENSE FULFILLMEN,administrative
490,TELEVISION ADVERTISEMENT  NATIONALLY DISTRIBUTED,media
490,CONSULTANT DIRECT MAIL,consulting
490,RADIO ADS (10/07 - 10/31/2016),media
491,MAIL EST,administrative
491,PARTY FUNDRAISING,fundraising
491,MEDIA BUY AND PRODUCTION,media
492,MEDIA BUY; ALSO OPPOSES MITT ROMNEY,media
492,IE-NEUMANN-ONLINE PROCESSING,digital
492,FUNDRAISING MAILING,fundraising
493,PRINT ADVERTISING,media
493,CONSULTING FOR INDEPENDENT EXPENDITURES,consulting
493,DONOR DEVELOPMENT,fundraising
494,TELEMARKETING FEES,fundraising
494,RADIO AD BUY,media
494,TV AD PRODUCTION COST BEHIND,media
495,TV AD COSTS,media
495,DIRECT MAIL PROCESSING,fundraising
495,IE-RADIO-TOBIN,media
496,ESTIMATED COST FOR QUALITY CONTROL COORD. SERVICES 5/5-5/15,consulting
496,DIRECT MAIL CREATIVES,fundraising
496,ADVERTISINGTV PLACEMENT STILL BELIEVE,media
497,TELEPHONE CALLS 'EARLY VOTE FOR BEGICH',field
497,DIRECT MAIL PAC FUNDRAISING,fundraising
497,MEDIA PLACEMENTALSO OPPOSE KASICH RUBIO AND CHRISTIE,media
498,"TV AND DIGITAL ADVERTISEMENT EARNED SUPPORTING DAVID JOYCE, 4/16 - 5/6.",digital
498,ADVANCE PAYMENT FOR DIRECT MAIL COSTS,fundraising
498,MEDIA BUY PRODUCTION,media
499,PROJECTED PAYROLL FOR CANVASSERS 9/1/16-9/31/16 NC,field
499,ON LINE FUNDRAISING SERVICES,digital
499,TELEVISION EXPENSE,media
500,IE-CRUZ-WALKING MAPS,field
500,DIRECT MAIL SERVICE,fundraising
500,TELEVISION ADVERTISING  MEDIA PLACEMENT,media
501,BUILDING MAINTENANCE,administrative
501,VIDEO PRODUCTION SHERRODBROWNISN'TWORKING.COM,digital
501,FUNDRAISING SERVICES FOR PAC NO FED CANDIDATES,fundraising
502,NATIONAL CABLE MEDIA BUY ON FOX NEWS CHANNEL,media
502,DIRECT MAIL FUNDRAISER,fundraising
502,MEDIA BUY - NY 11/03/12,media
503,MEDIA TV,media
503,FUNDRAISING PRINTING,fundraising
503,TV AD PRODUCTION: 'NICE',media
504,FUNDRAISING EVENT CATERING,fundraising
504,SOUND STAGE LIGHTING,media
505,ADVERTISING PRODUCTION COSTS,media
505,TELEVISION ADVERTISEMENT BUY,media
505,PAC DATA ACQUISITION SURVEYS,polling
506,LIST RENTAL EXPENSE,fundraising
506,TELEVISION ADVERTISING; ALSO SUPPORTS NEWT GINGRICH,media
506,TELEVISION PRODUCTION AND MEDIA BUY - SEVERE,media
507,FUNDRAISING EVENT EXPENSES,fundraising
507,MEDIA PRODUCTION FOR NATIONAL CABLE MEDIA BUY,media
507,RADIO AD,media
508,FUNDRAISING CONSULTANTS,consulting
508,INTEREST,administrative
508,TV&RADIO ADS TO BEGIN 10-16-12,media
509,MEDIA PRODUCTION PLACEMENT,media
509,FUNDRAISING MANAGEMENT,fundraising
509,GRAPHIC DESIGN - ANOTHER FEMINIST FOR HILLARY,media
510,DIRECT MAILERS,fundraising
510,MEDIA ADS TO GET OUT THE VOTE,media
510,MEDIA PLACEMENT  ALSO OPPOSES RUBIO,media
511,PAC EVENT CATERING,administrative
511,SUBSCRIPTIONS,administrative
511,EMAIL LIST RENTAL AND DEPLOYMENT,fundraising
512,CATERING FUNDRAISING,fundraising
512,ADVERTISING TELEVISION ADVERTISING,media
513,PHONE BANKS - FL 08-13-12,field
513,TELEMARKETING GENERIC,fundraising
513,ADVERTISING EXPENSES,media
514,INSURANCE - ELECT HILLARY CLINTON RALLY - NON-CONTRIBUTION ACCOUNT,administrative
514,FUNDRAISING FUNDRAISING COMMISSION,fundraising
514,PLACED MEDIA VIDEO PRODUCTION SERVICES,media
515,LUGGAGE CART RENTAL,travel
515,PAC FUNDRAISING SERVICES,fundraising
515,MEDIA PRODUCTION AND PLACEMENT,media
516,BANNER,administrative
516,ADVERTISING CAMPAIGN ADVERTISING,media
516,CONSULTANT FEE FUNDRAISING,consulting
517,IE-LAWSON-ONLINE ADS,digital
517,FUNDRAISING TELEMARKETING AND MAILING,fundraising
517,TV ADVERTISING PLACEMENT COST,media
518,POSTAGE - 9TH CD FLIER,administrative
518,TELEMARKETING AND DATA,fundraising
518,MEDIA ADS,media
519,DIRECT MAIL CONSULTANT,consulting
519,MEDIA BUY ESTIMATED COSTS,media
520,IE-MANESS-PHONE PROCESSING,administrative
520,DIRECT VOTER CONTACT,field
520,PRINT MAIL PRODUCTION,media
521,COPIES FOR CANVASSING,field
521,FUNDRAISING POSTAGE,fundraising
521,TV AD PLACEMENT,media
522,SECURITY,administrative
522,LIST MANAGEMENT SVC,fundraising
522,IE-KATKO-MEDIA PRODUCTION,media
523,POLITICAL STRATEGY SERVICES,consulting
523,DIGITAL AD BUY-ESTIMATED COSTS,digital
523,PAC DIRECT MAIL PRINTING MAILSHOP,fundraising
524,ONLINE MEDIA PRODUCTION,digital
524,PRINTING FUNDRAISING,fundraising
524,TV PRODUCTION,media
525,DIRECT MAIL PRODUCTION POSTAGE LIST RENTAL,fundraising
525,IE-SASSE-DIRECT MAIL PRODUCTION,fundraising
525,MEDIA EXPENSE TV AD BUY,media
526,REIMBURSEMENT FOR FACILITIES SUPPLIES ADMIN AND FUNDRAISING SERVICES,fundraising
526,HEADQUARTERS ACCOUNT OPERATIONS,administrative
526,PRODUCTION - 'GASTOS Y EMPLEOS' & 'SPENDING & JOBS' 10/28/2010,media
527,"IE-MOURDOCK,EST. STAFF & OVERHEAD",administrative
527,IN KIND CATERING,administrative
527,VIDEO PRODUCTION SERVICES,media
528,MEDIA TV BUY,media
528,STERLING CORPORATION,administrative
528,DIRECT MAIL CREATIVE FEES,fundraising
529,JFC EVENT CATERING,administrative
529,TELEVISION BUY,media
530,PRINTING AND MAILING  ON 10/27,administrative
530,401K PAYABLE,administrative
530,TELEMARKETING EXPENSE,fundraising
531,MEDIA DIGITAL AND TV ADVERTISING BUY,digital
531,VIGOP DIRECT MAIL PRINTING MAILSHOP,fundraising
531,TELEVISION AD,media
532,FUNDRAISING CONSULTANT FEES,consulting
532,NEWSPAPER AD - OH,media
532,RADIO AD BUY ESTIMATE,media
533,TV MEDIA SCHEDULE,media
533,ADVERTISING DIRECT MAIL,fundraising
533,MOTOR COACH RENTAL & WRAPPING,travel
534,SALARIES WAGES,administrative
534,GENERAL FUNDRAISING RETAINER,fundraising
535,FUNDRAISING CALL CENTER,fundraising
535,LITERATURE PRINTING,field
535,TV MEDIA PLACEMENT,media
536,DISSTRIBUTION OF LITERATURE,field
536,ADVERTISING FUNDRAISING,fundraising
536,TV ADVERTISEMENT,media
537,FUNDRAISING COMMISSIONS,fundraising
537,TV AD BUY  PRODUCTION COSTS,media
538,PARTY DIRECT MAIL,fundraising
538,IE-MOURDOCK-ONLINE ADS,digital
538,ADVANCE DEPOSIT,media
539,MEDIA PRODUCTION COSTS,media
539,IE-MCCLUNG-DOOR HANGERS,field
539,CONS PROFSERV FUNDRAISING,fundraising
540,"POLLING OREGON MAY 12-13, 2014",polling
540,TELEMARKETING EXPENSES,fundraising
540,TELEVISION MEDIA BUY,media
541,DIRECT MAIL OF 'GAP' - ESTIMATE,fundraising
541,OUTBOUND ADVOCACY MESSAGING AND FUNDRAISING SERVICES,fundraising
541,ADVERTISING PRODUCTION,media
542,FEDERAL PAC FUNDRAISING EXPENDITURES,fundraising
542,MEDIA PLACEMENT DEPOSIT,media
542,MEDIA PRODUCTION - 227,media
543,COPE FUNDRAISING PROGRAM AND ADMIN COSTS,fundraising
543,RADIO ADVERTISING AND PRODUCTION; ALSO SUPPORTS NEWT GINGRICH,media
544,DIRECT MARKETING POSTAGE,fundraising
544,ADVERTISING-TV PLACEMENT (STILL BELIEVE),media
544,MEDIA BUY TV  CABLE,media
545,MEDIA BUY AND PRODUCTION ALSO OPPOSES JOE BACA,media
545,VOTER OUTREACH CALLS,field
545,INTERNET FUNDRAISING,fundraising
546,JUNE MONTHLY OUTBOUND CALLING COSTS,administrative
546,DIRECT RESPONSE VOTER OUTREACH,fundraising
546,TV MEDIA PLACEMENT RADIO PLACEMENT DEPOSIT,media
547,DIRECT MAIL PRODUCTION FEE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 4/25/16.,fundraising
547,IN KIND EVENT CATERING,administrative
547,MEDIA AND PRODUCTION SERVICES,media
548,FUNDRAISING DIRECT MAIL POSTAGE,fundraising
548,MEDIA - RADIO PRODUCTION,media
548,MEDIA EXPENSES,media
549,PRINTING AND DESIGN SERVICES,administrative
549,FUNDRAISING COLLECTION SERVICE,fundraising
549,CONTINUATION OF TV AD - MEDIA BUY. AD AIRS 5/10 - 5/13.,media
550,"PAC DIGITAL ADVERTISING, PRINTING AND POSTAGE EXPENSE",digital
550,NRA PVF FUNDRAISING POSTAGE,fundraising
550,MEDIA PLACEMENT  ALSO OPPOSES KASICH AND RUBIO,media
551,DIRECT MAIL PROGRAM POSTAGE,fundraising
551,ESTIMATE OF NATIONWIDE TELEMARKETING CALLS OPPOSING HILLARY CLINTON. CALLS MADE FROM OCTOBER 16-31.,fundraising
551,AIRTIME,media
552,DONATION TO CHARITY,fundraising
552,ESTIMATE:TV AD PRODUCTION,media
552,TV  MEDIA PRODUCTION,media
553,POSTAGE - 2ND CD FLIER,administrative
553,DIRECT MAIL AND POSTAGE,fundraising
553,RADIO ADVERTISEMENT,media
554,COPY WRITING - EMAIL & WEB,administrative
554,Solicitation and Fundraising Expenses,fundraising
554,ADVERTISING MEDIA ADVERTISING,media
555,DIRECT MAILER,fundraising
555,TELEMARKETING SERVICES - 10/30/2010,fundraising
555,TELEVISION AD PLACEMENT  PRODUCTION,media
556,INTERNET ADS RE ROMNEYCOURT,digital
556,GENERIC CMTE MEDIA BUYS,media
556,FUNDRAISING MAIL POSTAGE PRINTING,fundraising
557,"10/27 PRINTING, POSTAGE, DESIGN AND MAIL",administrative
557,FUNDRAISING PRINTING MAILSHOP,fundraising
557,MEDIA PLACEMENT FEES,media
558,PAC TELEMARKETING SOLICITATIONS,fundraising
558,POSTAGE - MAIL PIECE 2,administrative
558,RADIO BUY,media
559,PERSUASION CALLS,field
559,MEMBER ORGANIZATION FUNDRAISING TRAINING,fundraising
559,PRODUCTION,media
560,GENERIC PARTY FUNDRAISING DIRECT MAIL,fundraising
560,TV BUY AND PRODUCTION COSTS,media
560,TV RADIO ADVERTISING,media
561,NONFEDERAL MEDIA BUY,media
561,GRASSROOTS MATERIAL AND DISTRIBUTION,field
561,PROFESSIONAL FUNDRAISER,fundraising
562,ON-LINE ADVERTISING AND DIRECT MAIL,digital
562,DIRECT MAIL SERVICES AND POSTAGE; DISSEMINATION DATE 05242016,fundraising
562,Advertising Expenses,media
563,CREDIT CARD MERCHANT FEE FUNDRAISING FEE,fundraising
563,TVMEDIA PRODUCTION,media
563,TV AD PLACEMENT: 'HYPOCRITE',media
564,EMAIL FUNDRAISING,digital
564,ADVERTISING ADVERTISING,media
564,CASTING FOR TV/RADIO ADS,media
565,REIMBURSE SPONSOR ORG FOR FUNDRAISING COSTS,fundraising
565,E-MAIL DELIVERY,digital
565,RADIO MEDIA PLACEMENT,media
566,TELEMARKETING FUNDRAISING,fundraising
566,PLACEMENT OF INTERNET ADS/COMMUNICATIONS,digital
566,TV ADVERTISING PLACEMENT,media
567,RADIO ADS PRODUCTION COST 'STAND UP' & 'COMMITMENT',media
567,DIRECT MAIL POSTAGE PAC FUNDRAISING,fundraising
567,PRINT PRODUCTION,media
568,ADVERTISING MEDIA PLACEMENT,media
568,FUNDRAISING NOT FEA,fundraising
568,TV ADS 'WHAT'S THE DEAL',media
569,FUNDRAISING CONSULTANT SERVICES,consulting
569,RADIO ADVERTISING BUY,media
570,TAXI FROM AIRPORT,travel
570,DIRECT MAIL PRODUCTION POSTAGE LIST RENT,fundraising
570,ADVERTISING SERVICES,media
571,IE-MANDEL-PRINTING,administrative
571,DEBT REPAYMENT TELEMARKETING,fundraising
571,MEDIA AD BUY,media
572,IE-MOURDOCK-PHONEBANKING,field
572,TELEMARKETING MEMBERSHIP COMMUNICATIONS,fundraising
572,FUEL,travel
573,NRA PVF FUNDRAISING PRINTING MAILING,fundraising
573,PAC ADVERTISING,media
573,TV AD PRODUCTION: TRICK-ADLER,media
574,"TRAVEL-PHONE BANK, ESTIMATE",travel
574,401K CONTRIBUTION,administrative
574,ADS,media
575,EMPLOYMENT PENSION 401K,administrative
575,FUNDRAISING COSTS,fundraising
575,MEDIA PLACEMENT SERVICE,media
576,GENERIC CMTE SUBSCRIPTIONS,administrative
576,GOTV TELEPHONE CALLS - 04/26/2016,field
576,PAC DIRECT MAIL FUNDRAISING,fundraising
577,LIST MANAGEMENT SERVICES,fundraising
577,PRODUCTION SERVICES,media
578,FUNDRAISING POSTAGE AND DELIVERY,fundraising
578,DIRECT MAILING ADVERTISING,fundraising
578,RADIO ADVERTISING; ALSO OPPOSES MITT ROMNEY,media
579,DIGITAL AD PROMOTION,digital
579,VIGOP DIRECT MAIL POSTAGE,fundraising
579,MEDIA PLACEMENT FOR NATIONAL BUY ON FOX NEWSALSO OPPOSE KASICH RUBIO AND CHRISTIE,media
580,FACILITIES CATERING,administrative
580,TV ADVERTISEMENT BUY AND PRODUCTION,media
580,AIR CHARTER,travel
581,TV AD PRODUCTION,media
581,REPAYMENT OF CAMPAIGN COMMITTEE LOAN,administrative
581,VOLUNTEERS/CANVASS - STIPENDS,field
582,EMAIL COMMUNICATIONS,digital
582,DIRECT MAIL IN OPPOSITION TO DEAN HELLER 101618  103018,fundraising
582,RADIO,media
583,TELEMARKETING PROGRAM,fundraising
583,PRODUCTION COSTS,media
583,TELEVISION MEDIA PLACEMENT & PRODUCTION,media
584,DIGITAL DESIGN,digital
584,PAC FUNDRAISING COMMISSION,fundraising
584,MEDIA PRODUCTIONPLACEMENT,media
585,PUBLICATIONS SUBSCRIPTIONS,administrative
585,INTERNET ADS STARTING 10/15,digital
585,EXPENSES DIRECT MAIL,fundraising
586,VOLUNTEER RECRUITMENT,field
586,TELEMARKETING MEMBERSHIP COMMUNICATION,fundraising
586,TV BROADCAST,media
587,DIRECT MAIL ADVERTISING,fundraising
587,MEDIA BUY  TVCABLE,media
587,TV PRODUCTIONS COSTS,media
588,PAC FUNDRAISING RETAINER,fundraising
588,IE-LUGAR-ADVERTISING,media
588,MEDIA AD PLACEMENT,media
589,RADIO AD: ACU FLEISCHMANN,media
589,FUNDRAISING SERVICES FOR PAC,fundraising
589,TVDIGITAL ADVERTISING,media
590,ADVERTISING BUY,media
590,PAC DIRECT MAIL PRINTING,fundraising
590,CAREY ACCOUNT - MEDIA BUY AND PRODUCTION; PART OF LARGER $100626 NATIONAL AD CAMPAIGN,media
591,ERICPAC DIRECT MAIL SERVICES,fundraising
591,CAR WASH,administrative
591,MEDIA PRODUCTION CREATIVE AND FOCUS GROUP,media
592,JFC DIRECT MAIL PRODUCTION,fundraising
592,AUGUST/SEPTEMBER MONTHLY EXTERNAL DEPLOYMENT COSTS,administrative
592,MEDIA BUY RADIO,media
593,CAMPAIGN STRATEGY,consulting
593,FUNDRAISING MAIL PRINTING,fundraising
593,IE-STENBERG-VIDEO PRODUCTION,media
594,ADVERTISING TV CABLE RADIO,media
594,TELECONFERENCE,administrative
594,FUNDRAISER CATERING,fundraising
595,TELEMARKETING FOR PAC,fundraising
596,MILEAGE REIMBURSEMENT FOR CANVASSERS 7/25-7/31 NC,field
596,PRINTING DIRECT MAILING,fundraising
596,BROADCAST TELEVISION,media
597,STAFF TIME (EXCEEDED $1K ON 10/28/2016),administrative
597,IN KIND LIST RENTAL,fundraising
597,CAMPAIGN ADVERTISING,media
598,RADIO MEDIA BUY,media
598,DIRECT MAIL SERVICES POSTAGE,fundraising
598,ADVERTISING  MEDIA PLACEMENT ESTIMATE,media
599,OFFICE SUPPLIES AND MAPS FOR CANVASS,field
599,TELEMARKETING FEES MEMBER COMMUNICATIONS,fundraising
599,MEDIA PRODUCTION CREATIVE AND PLACEMENT,media
600,GENERIC CMTE EVENTS MEETINGS,administrative
600,LEGAL SERVICES,legal
600,ESTIMATE: CANVASS COSTS-WA-WK STARTING 10/28,field
601,AUDIO VISUAL SERVICES,administrative
601,PRINTING MAIL SERVICES,administrative
601,LEGAL FEES,legal
602,CATERING EVENTS,administrative
602,ACCOUNTING SERVICES,legal
602,MEDIA BUY - TV SC,media
603,AUDIO VISUAL,administrative
603,BANK OTHER TRADING ASSEST,administrative
603,DIRECT MAIL PRODUCTION - ALSO OPPOSES RUBIO KASICH AND CHRISTIE,fundraising
604,ACCOUNTING,legal
604,EVENTS AUDIO VISUAL,administrative
604,NEWSPAPER AD   - AZ,media
605,PER DIEM,administrative
605,LEGAL COMPLIANCE SERVICES,legal
606,EVENTS,administrative
606,LIVE CALLS - 08/05/2012,field
606,LEGAL ACCOUNTING SERVICES,legal
607,LEGAL AND COMPLIANCE SERVICES,legal
608,PAT BOONE VOTER CONTACT FOR KELLEY AYOTTE,field
608,LEGAL SERVICES RENDERED,legal
609,ESTIMATED OUTREACH AND PAID PRINTING DISTRIBUTION,administrative
609,TRANSCRIPTION SERVICES,administrative
609,ACCOUNTING FEES,legal
610,"MEDIA PRODUCTION OF BUMPER STICKERS, BUTTONS, YARD SIGNS",media
610,OFFSET FOR IN KIND EVENTS,administrative
610,ACCOUNTING COMPLIANCE SERVICES,legal
611,ACCOUNTING COMPLIANCE,legal
611,RADIO PRODUCTION - LOOPHOLE,media
612,CATERING FOR EVENTS,administrative
612,CLERICAL,administrative
612,LEGAL REPORTING SERVICES,legal
613,EVENTS MISC EXPENSE,administrative
613,STAFF TIME FOR REVIEW OF MAILER,fundraising
613,COMPLIANCE ACCOUNTING SERVICES,legal
614,STAGING AUDIO VISUAL SVC,administrative
614,PAC LEGAL FEES,legal
614,PRODUCTION AND TIME FOR TV AD TO AIR 10/15/12,media
615,PROFESSIONAL SERVICES ACCOUNTING,legal
615,WEBSITE - ALLOCATED (WHAT HAVE THEY DONE FOR YOU),digital
616,EVENTS SITE SUPPLIES,administrative
616,DATA PLAN FOR CANVASSING,field
616,LEGAL TREASURY FEES,legal
617,LEGAL,legal
617,MEDIA PRODUCTION - ALSO OPPOSES TRUMP CRUZ AND RUBIO,media
618,PAC ACCOUNTING COMPLIANCE SERVICES,legal
619,"ADDITIONAL STAFF TIME FOR FIELD CANVASS, 10/22",field
619,LEGAL FEE,legal
620,RETAINER AND EXPENSES FOR LEGAL SERVICES,legal
620,PER DIEM EXPENSES,administrative
620,STAFF EXPENSES (EXCEEDED $1K ON 11/05/2016),administrative
621,CAMPAIGN EVENTS,field
621,COMPLIANCE AND ACCOUNTING SERVICES,legal
622,ACCOUNTING SVCS RENDERED,legal
622,TV SPOT,media
623,OFFSET FOR IN KIND HQ EVENTS,administrative
623,DELIVER MAILINGS,administrative
623,ACCOUNTING AND COMPLIANCE SERVICES,legal
624,SHIPPING EXPENSE,administrative
624,LEGAL AND TREASURY FEES,legal
625,REIMBURSEMENT PER DETAIL,administrative
625,IN KIND LEGAL FEES,legal
625,TV PRODUCTION - 'MET',media
626,EVENTS MEETINGS,administrative
626,ACCOUNTING AND COMPLIANCE,legal
627,DONOR MEMENTOS BOOKS STICKERS,fundraising
627,LEGAL RETAINER,legal
627,COMPUTERS,administrative
628,EVENT AUDIO VISUAL,administrative
628,ACCOUNTING PERSONNEL COSTS,legal
629,BEN CONNORS SALARY,administrative
629,ACCOUNTING AND AUDIT SERVICES,legal
629,PRODUCTION AND PLACEMENT OF TV SPOT,media
630,OFFICE SUPPLIES AND EXPENSES,administrative
630,PROFESSIONAL SERVICES ACCOUNTING COM,legal
631,FOOD FOR EVENTS,administrative
631,PAC LEGAL SERVICES,legal
632,IN KIND EVENTS,administrative
632,LEGAL SERVICES AND PAC ADMINISTRATION,legal
633,LEGAL EXPENSES,legal
633,CONVENTION AUDIO VISUAL SERVICES,administrative
633,ESTIMATE: ONLINE PETITION SIGNATURES,digital
634,ACCOUNTING AND REPORTING SERVICES,legal
634,IE-COCHRAN-RESEARCH,polling
635,PAC ACCOUNTING SERVICES,legal
635,2 MAILERS,media
636,"BUSINESS EXPENSE,",administrative
636,ACCOUNTING COMPLIANCE FEES,legal
637,ADJUSTMENT PER AUDIT RECOMMENDATION,legal
637,LEGAL COUNSEL,legal
637,IE-MACK-TRAVEL,travel
638,PROFESSIONAL LEGAL SERVICES,legal
638,CONSULTING: SCRIPT FOR ONLINE VIDEO,consulting
639,ACCOUNTING SVC,legal
639,"MEDIA BUY TV - ORIGINALLY REPORTED AS $983,801.00; REVISED TO ACTUAL",media
639,BEVERAGES FOR EVENTS,administrative
640,"DIRECT MAIL;PAID 94,454.45 - RED PRINTING & MAIL;$2,292.00 - POLITICAL DATA; $83,780.91 - U.S.P.S",fundraising
640,LEGAL RETAINER FEE,legal
641,EVENT EXPENSE SOUND LIGHTING,administrative
641,PROFESSIONAL SERVICES LEGAL,legal
641,GRAPHICS,media
642,CONTRACT LABOR SCHEDULING SERVICES PER DIEM,administrative
642,POSTAGE -  DONNELLEY THE SPENDIFICENT,administrative
642,COMPLIANCE ACCOUNTING,legal
643,SOUND MUSIC EQUIPTMENT FOR CAMPAING EVENTS,administrative
643,DIRECT MAIL/DONOR FULFILLMENT (ESTIMATE 10/1/12-10/7/12),fundraising
643,FEC COMPLIANCE AND ACCOUNTING,legal
644,CATERING EXP FOR EVENTS,administrative
644,LEGAL AND ACCOUNTING SERVICES,legal
645,EVENT LIGHTING AND SOUND,administrative
645,IE-LEE-VOTER LIST PURCHASE,field
645,LEGAL REPRESENTATION,legal
646,AUDIO VIDEO AND LIGHTING FOR EVENT,media
646,OFFICE LEGAL SERVICES,legal
646,TV MEDIA,media
647,AUDIO SERVICES,administrative
647,DIRECT MAIL CREATIVE FEE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 12/18/15.,fundraising
647,ACCOUNTING REPORTING SERVICES,legal
648,LEGAL AND REPORTING SERVICES,legal
648,MEDIA BUY FOR PRO-BRANNON SPOT,media
649,EVENT AUDIO VISUAL STAGING SETUP,administrative
649,IE-HATCH-GRASSROOTS ORGANIZING,field
649,LEGAL EXPENSE,legal
650,PRODUCTION FOR DIGITAL VIDEO (HEALTHCARE),digital
650,TICKETS FOR EVENTS USED AS IN KIND CONTRIBUTIONS,administrative
650,JFC ACCOUNTING COMPLIANCE SERVICES,legal
651,2012 RNC CONVENTION EVENTS,administrative
651,MAILERS (MCGINTY SUPREME COURT MAILER 2),fundraising
651,HEADQUARTERS LEGAL SERVICES,legal
652,"PRODUCTION, RENTAL AND SENDING OF EMAILS BEGINNING 10/31",digital
652,CATERING AUDIO VISUAL,administrative
652,ACCOUNTING SERVICE,legal
653,EVENTS STAFFING,administrative
653,LEGAL MATTERS,legal
654,UFCW FOR OBAMA STATIC WINDOW CLINGS,administrative
654,PROFESSIONAL SERVICES ACCOUNTING COMPLIANCE,legal
655,LEGAL ACCOUNTING AND ADMINISTRATION,legal
655,TOUGH PRODUCTION\TRADIO PRODUCTION,media
656,ACCOUNTING REPORTING FEES,legal
657,FLATEARTH.TV ONLINE CAMPAIGN,digital
657,DEBT REPAYMENT LEGAL FEES,legal
658,PAC LEGAL SERVICES AND EXPENSES,legal
658,ACCOUNTING AND SUPPORT SERVICE,legal
658,MEDIA PLACEMENT-BILLBOARDS,media
659,JFC ACCOUNTING COMPLIANCE,legal
659,IE-PRINTING/POSTAGE-GARDNER,administrative
659,FUNDRAISER EVENTS,fundraising
660,LEGAL PERSONNEL COSTS,legal
660,EVENT LIGHTING,administrative
660,MALING FOR VOTER GUIDE,field
661,PROFESSIONAL FEES ACCOUNTING,legal
661,AUDIO EDITING,media
661,MEDIA PRODUCTION EXPENSES (ESTIMATED AMOUNT),media
662,BOOKS FOR PAC EVENTS AND RALLYS,administrative
662,ESTIMATE OF NATIONWIDE TELEMARKETING CALLS OPPOSING HILLARY CLINTON. CALLS MADE FROM MARCH 15-31ST.,fundraising
662,DEBT REPAYMENT LEGAL SERVICES,legal
663,BOOKS FOR FUNDRAISER,fundraising
663,IN KIND LEGAL SERVICES,legal
663,TV ADS TO BEGIN 10-23-12,media
664,CANDIDATE REIMBURSEMENT CAMPAIGN EVENTS,administrative
664,LEGAL SERVICES PAC ADMINISTRATION,legal
664,MPND12006 - OUT OF TOUCH #3,media
665,CATERING EVENTS PARTY EVENT,administrative
665,JFC LEGAL SERVICES,legal
666,EVENTS EXPENSE,administrative
666,ACCOUNTING EXPENSE,legal
666,TV PRODUCTION AND BUY,media
667,FUNDRAISER FEES,fundraising
667,EVENTS PARADES,administrative
667,TV ADS TOTALLY UNACCEPTABLE DEADBEAT,media
668,AUTOMATED PHONE MESSAGES,field
668,LEGAL AND ADMINISTRATIVE SERVICES,legal
668,AMEX PMT SB21B23623 AUDIO VISUAL SERVICES,media
669,ACCOUNTING COMPLIANCE CAGING SERVICES,legal
669,AMEX PMT SB1723144 AUDIO VISUAL SERVICES,media
670,EVENTS COORDINATOR,administrative
670,LEGAL SETTLEMENT PAYMENT,legal
670,TV ADVERTISING AND PRODUCTION,media
671,DIRECT MAIL: PROVEN RECORD,fundraising
671,PROFESSIONAL ACCOUNTING REPORTING FEES,legal
671,REIMBURSEMENTS LODGING CAMPAIGN EVENTS,travel
672,CONSULTANTS LEGAL,consulting
672,MEDIA INTERNET,digital
673,OTHER VENDOR LEGAL FEES,legal
673,LIGHTING,administrative
673,PAC PRINTING AND POSTAGE AND DIGITAL ADVERTISING EXPENSE,digital
674,LEGAL PROFESSIONAL FEES,legal
674,STAFFING AT EVENTS,administrative
675,EVENTS REPUBLICAN DINNER,administrative
675,CVF LEGAL SERVICES,legal
676,LP LEGAL EXPENSES,legal
676,PARKING CARSON,administrative
676,WEBSITE RENTAL,digital
677,BEN CONNOR TAXES,administrative
677,LEGAL PROFESSIONAL SERVICES,legal
677,PRODUCTION (DAY),media
678,IN KIND STAFF TIME ON LEGAL AND ACCOUNTING SERVICES,legal
678,PAC PRINTING,administrative
678,PAC RESORT EVENTS AND LODGING,travel
679,ACCOUNTING HEALTH INSURANCE COSTS,legal
679,STAGING AUDIO VISUAL,administrative
679,IE-PLUMMER-ONLINE ADS,digital
680,OTHER LEGAL FEES,legal
680,AUDIO STAGE SOUND FOR MISSION,administrative
680,GOTV MAIL PIECE SUPPORTING RON ZERBAN,field
681,STATE CONVENTION AUDIO VISUAL,administrative
681,COMPLIANCE AND ACCOUNTING,legal
681,TRUCK WRAP PRODUCTION AND PLACEMENT (OBAMA'S POLICIES),media
682,"SALARY, TRAVEL AND FOOD FOR CANVASS",field
682,LEGAL ACCOUNTING FEES,legal
682,CONVENTION AUDIO VISUAL,administrative
683,WALK LISTS FOR CANVASSERS,field
683,BOOKS DELEGATE GIFTS,administrative
683,PAC LEGAL TREASURY FEES,legal
684,ACCOUNTING AND COMPLIANCE FEES,legal
684,EVENTS CATERING,administrative
684,VIDEO PRODUCTION - STAFF TIME (NATIONALLY DISSEMINATED VIDEO),media
685,BEN CONNORS TAXES,administrative
685,IE-CURBELO-ONLINE ADS-ESTIMATED,digital
685,001 ACCOUNTING FEES,legal
686,VOLUNTEER PER DIEM,administrative
686,WEBSITE INFRASTRUCTURE COSTS - DISSEMINATION DATE 7/12/12,digital
686,LEGAL COMPLIANCE,legal
687,CONVENTION AUDIO VISUAL EXPENSE,administrative
687,BROADCAST & DIGITAL AD.,digital
687,PAC LEGAL SERVICES EXPENSES,legal
688,CONSULTING SERVICES FOR MAIL DESIGN,consulting
688,INAUGURATION EVENTS,administrative
